"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Hoşçakalın Memur Bey."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Yaşasın Yeni Arstotzka."
"end:help-few-ezic","Hello inspector.","Merhaba sayın memur."
"end:help-few-ezic","We have audited your recent activities.","Son günlerdeki hareketlerinizi inceledik."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Kendilerini EZİC YILDIZI TARIKATI olarak adlandıran bir grupla işbirliği yaptığınız ortaya çıktı."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Tarikatın bazı üyeleri Arstotzka'da tutuklandı."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","Bir EZİC üyesi yardım ve yataklık ettiğinizi itiraf etti."
"end:help-few-ezic","This represents treason of the highest order.","Bu yaptığınız vatan hainliğidir."
"end:help-few-ezic","Goodbye inspector.","Hoşçakalın Memur Bey."
"end:help-few-ezic","The execution is scheduled for tonight.","Bu gece idam edileceksiniz."
"end:help-few-ezic","Your family's safety is unknown.","Ailenizin durumu bilinmiyor."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZİC yok edildi ve adalette denge sağlandı."
"end:help-few-ezic","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","Kuzey Bölgelerine giden gece trenine bindin. Tren neredeyse boş."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","Özensiz bir şekilde basılmış pasaport ve giriş bileti aldın. Sahte oldukları belli."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","Özensiz bir şekilde basılmış pasaportlar ve giriş biletleri aldınız. Sahte oldukları belli."
"end:escape","You reach the border crossing at dawn. The line is immense.","Gün doğarken sınıra geldin, sıranın sonu görünmüyor."
"end:escape","Six hours later.","Altı saat sonra."
"end:escape","Your documents.","Belgelerin."
"end:escape","Here.","Burada."
"end:escape","You are entering alone?","Yalnız mı giriyorsun?"
"end:escape","Yes.","Evet."
"end:escape","I come to visit relatives.","Ailemi ziyarete geldim."
"end:escape","No, my family as well.","Hayır, ailem de benimle."
"end:escape","Hand over all documents now.","Tüm belgeleri ver."
"end:escape","We come to visit relatives.","Ailemizi ziyarete geldik."
"end:escape","I do not care why you come. Wait here.","Neden geldiğin umrumda değil. Bekle."
"end:escape","*KACHUNK*","*TAAK*"
"end:escape","Welcome to Obristan. Next!","Obristan'a hoş geldin. Sıradaki!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","MEMUR BEY! Bugün mükemmel bir gün!"
"end:help-ezic-hold-fire","The border has been pierced.","Sınırları delmeyi başardık."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","Yolsuzluk ve açgözlülük azalırken EZİC gelişiyor."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","Seni ve aileni daha iyi bir eve yerleştiriyoruz."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Memur olarak yardımların artık gerekmiyor. Şimdi ajanlara ihtiyacımız var."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Bize katıl ve bu devrimi beraber gerçekleştirelim!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Yaşasın Yeni Arstotzka."
"end:ignore-ezic","Hello inspector.","Merhaba memur bey."
"end:ignore-ezic","We have audited your activities for the past 20 years.","Son 20 yıl boyunca hareketlerinizi izledik."
"end:ignore-ezic","There are some anomalies.","Bazı dengesizlikler var."
"end:ignore-ezic","But you have served Arstotzka well.","Ancak Arstotzka'ya iyi bir vatandaş oldunuz."
"end:ignore-ezic","We will overlook these small transgressions.","Ufak hatalarınızı görmezden geleceğiz."
"end:ignore-ezic","You have been cleared of any suspicion.","Tüm şüphelerden aklandınız"
"end:ignore-ezic","Glory to Arstotzka.","Yaşasın Arstotzka."
"end:ignore-ezic","A new agreement has been reached with Kolechia.","Kolechia ile yeni bir anlaşma sağlandı."
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","Grestin Sınır Kapısı yakında tekrar açılacak."
"end:ignore-ezic","Return to your post on January 1st.","1 Ocak'ta görev bölgenize dönün."
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","SONSUZ MODU AÇMA KODU: 62131"
"endless:timed","Timed","Süreli"
"endless:timed","Process as many travelers as possible in 10 minutes.","10 dakika içerisinde olabildiğince çok yolcuyla ilgilen."
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","SONSUZ - SÜRELİ

10 dakika içerisinde olabildiğince çok yolcuyla ilgilen. Yolcu başı bir puan alırsın. Her uyarıda 30 saniye kaybedersin."
"endless:perfection","Perfection","Mükemmeliyetçi"
"endless:perfection","Game over at first penalty. Earn dwindling points.","Tek hatada oyunu kaybedersin. Kazandiğin puan ilerledikçe azalir."
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.","SONSUZ - MÜKEMMELLIYETÇI

Yolcularla ilgilendikçe puan kazan. Asla uyarı almamalısın. Ilk bir dakikada yolcu başı on puan, sonrasındaki her dakika kazanacağın puan birer birer azalır. Hızlı olmalısın."
"endless:endurance","Endurance","Dayanıklılık"
"endless:endurance","Play until balance goes negative. Avoid penalties.","Hesap eksiye gidene kadar oynarsin. Hata yapmaktan kaçin."
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.","SONSUZ - DAYANIKLILIK

Hesap sıfırın altına inene kadar yolcularla ilgilen. Uyarı aldıkça puanın daha çok düşer. Ulaştığın en yüksek puan skoruna işlenir."
"endless:course1","Course 1","1. Rota"
"endless:course2","Course 2","2. Rota"
"endless:course3","Course 3","3. Rota"
"endless:course4","Course 4","4. Rota"
"bullend:1A","Check rulebook for rules in effect.","Geçerli kurallar için kural kitabını kontrol edin."
"bullend:2A","Check rulebook for rules in effect.","Geçerli kurallar için kural kitabını kontrol edin."
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Geçerli kurallar için kural kitabını kontrol edin. Reddedilen başvurularda RET SEBEBI kaşesi basılmalıdır."
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Geçerli kurallar için kural kitabını kontrol edin. Reddedilen başvurularda RET SEBEBI kaşesi basılmalıdır."
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.","Giderlerini aşağidaki noktalardan düzenle."
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.","Akşam 6'dan sonra gelen yolcular maaşi etkilemez."
"night:PROGRESS_SAVED","Progress is saved at the start of each day.","Ilerlemeniz her günün başlangicinda kaydedilir."
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.","Terörist saldirisindan dolayi mesai erken bitti."
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.","Terörist saldirisindan dolayi mesai erken bitti."
"night:ATTACK_FIREDGUN","TRIGGER BONUS","TETİKÇİ BONUSU"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.","Terörist saldirisindan dolayi mesai erken bitti."
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS","KESKİN NİŞANCI BONUSU"
"night:POISONING","The day was cut short by a security incident.","Güvenlik olayindan dolayi mesai erken bitti."
"night:FAMILY_PICTURE","Your wife found an old family picture.","Eşin eski bir aile fotoğrafi buldu."
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.","Kabin Geliştirmesi Mevcut: INCELEME modu için BOŞLUK tuşuna basin."
"night:BUY_UPGRADE0","UPGRADE BOOTH","KABİNİ GELİŞTİR"
"night:BUY_UPGRADE0","Booth Upgrade Available: Multitouch.","Kabin Geliştirmesi Mevut: Çoklu Dokunma."
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.","Kabin Geliştirmesi Mevcut: TAB tuşu kaşe barini açar."
"night:BUY_UPGRADE1","UPGRADE BOOTH","KABİNİ GELİŞTİR"
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.","Kabin Geliştirmesi Mevcut: Kural kitabi kestirmeleri."
"night:BUY_UPGRADE2","UPGRADE BOOTH","KABİNİ GELİŞTİR"
"night:BUY_UPGRADE3","Booth Upgrade Available: Double-click for quick INSPECT.","Kabin Geliştirmesi Mevcut: Hizli INCELEME için çift tiklayin."
"night:BUY_UPGRADE3","UPGRADE BOOTH","KABİNİ GELİŞTİR"
"night:APARTMENT_RENT","The rent has gone up.","Kiraniz artti."
"night:APARTMENT_UPGRADE","A cheaper class 8 apartment is available (Rent = 25, Heat = 10)","Daha ucuz 8. sinif bir daire mevcut. (Kira = 25, Isinma= 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-8","8. SINIFA TAŞIN"
"night:APARTMENT_UPGRADE","A class-7 apartment is available. (Rent = 30, Heat = 10)","7. sinif bir daireye taşinabilirsin. (Kira = 30, Isinma = 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-7","7. SINIFA TAŞIN"
"night:APARTMENT_UPGRADE","A class-6 apartment is available. (Rent = 40, Heat = 5)","6. sinif bir daireye taşinabilirsin. (Kira = 40, Isinma = 5)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-6","6. SINIFA TAŞIN"
"night:APARTMENT_UPGRADE","A class-5 apartment is available. (Rent = 50, Heat = 0)","5. sinif bir daireye taşinabilirsin. (Kira = 50, Isinma = 0)"
"night:APARTMENT_UPGRADE","Class-5 is the best a worker can have.","5. sinif bir memurun yaşayabileceği en üst kalite."
"night:APARTMENT_UPGRADE","MOVE TO CLASS-5","5. SINIFA TAŞIN"
"night:SON_BIRTHDAY","Your son's birthday is in 2 days.","2 gün sonra oğlunun doğum günü."
"night:SON_BIRTHDAY2","Your son's birthday is tomorrow. He wants an expensive crayon set.","Yarin oğlunun doğum günü. Pahali bir pastel boya seti istiyor."
"night:SON_BIRTHDAY2","SON'S GIFT","OĞLUNA HEDİYE AL"
"night:SON_BIRTHDAY3","Your son has drawn a picture for you to take to work.","Oğlun işe götürmen için sana bir resim çizmiş."
"night:NIECE","Your sister has been arrested. Her young daughter needs a home.","Ablan tutuklandi. Küçük kizinin bir eve ihtiyaci var."
"night:NIECE","ADOPT NIECE","YEĞENİNİ EVLAT EDİN"
"night:NIECE2_YES","Your niece has brought her mother's savings.","Yeğenin annesinin birikimlerini getirdi."
"night:NIECE2_YES","SISTER'S SAVINGS","ABLANIN BİRİKİMLERİ"
"night:NIECE2_NO","Your niece has disappeared.","Yeğenin kayboldu."
"night:FRIENDLY_GUARD_PAYOUT","A young woman dropped off something.","Genç bir kadin bir şey birakti."
"night:FRIENDLY_GUARD_PAYOUT","ELISA'S GIFT","ELISA'NIN HEDİYESİ"
"night:DETAIN_PAYOUT","DETAIN BONUS","GÖZALTI BONUSU"
"night:EZIC_PAYOUT","A strange man brought money. Uncheck to burn it.","Garip bir adam para birakti. Seçimi kaldirarak parayi yakabilirsin."
"night:EZIC_PAYOUT","EZIC GIFT","EZİC'TEN HEDİYE"
"night:EZIC_PAYOUT_RETRY","A strange man brought money again. Uncheck to burn it.","Garip adam yine para birakti. Seçimi kaldirarak parayi yakabilirsin."
"night:EZIC_PAYOUT_RETRY","EZIC GIFT","EZİC'TEN HEDİYE"
"night:EZIC_TAKESAVINGS","The neighbors have reported your new wealth.","Komşularin yeni servetini bildirdi."
"night:EZIC_TAKESAVINGS","The Ministry of Income has confiscated your savings pending investigation.","Maliye Bakani birikimlerini inceleyecek."
"night:EZIC_CLEARED","The Ministry of Income has cleared all wrongdoing.","Maliye Bakani tüm yanlişlari düzeltti."
"night:EZIC_CLEARED","Your savings will not be returned.","Birikimlerine el koyuldu."
"night:EZIC_REWARD","A small package arrived.","Ufak bir paket geldi."
"night:EZIC_REWARD","EZIC GIFT","EZİC'TEN HEDİYE"
"night:TAKE_FAMILY_PASSPORTS","The Ministry of Information has confiscated your family's passports.","Haber Alma Bakanliği ailenin pasaportlarina el koydu."
"night:ESCAPE","You can now escape to Obristan by yourself.","Obristan'a yalniz başina kaçabilirsin."
"night:ESCAPE","You can now escape to Obristan with one family member.","Obristan'a bir aile üyesiyle birlikte kaçabilirsin."
"night:ESCAPE","You can now escape to Obristan with two family members.","Obristan'a iki aile üyesiyle birlikte kaçabilirsin."
"night:ESCAPE","You can now escape to Obristan with three family members.","Obristan'a üç aile üyesiyle birlikte kaçabilirsin."
"night:ESCAPE","You can now escape to Obristan with four family members.","Obristan'a dört aile üyesiyle birlikte kaçabilirsin."
"night:ESCAPE","You can now escape to Obristan with everyone.","Obristan'a tüm aile üyeleriyle birlikte kaçabilirsin."
"night:ESCAPE_1","ESCAPE (SELF)","KAÇ (TEK)"
"night:ESCAPE_2","ESCAPE (SELF+1)","KAÇ (SEN+1)"
"night:ESCAPE_3","ESCAPE (SELF+2)","KAÇ (SEN+2)"
"night:ESCAPE_4","ESCAPE (SELF+3)","KAÇ (SEN+3)"
"night:ESCAPE_5","ESCAPE (SELF+4)","KAÇ (SEN+4)"
"night:ESCAPE_6","ESCAPE (SELF+5)","KAÇ (SEN+5)"
"night:HANGINGS_PENALTY","A fine has been assessed for unofficial wall hangings.","Duvara astiğin uygunsuz şeylerden dolayi ceza kesildi."
"night:HANGINGS_PENALTY","HANGINGS FINE","CEZA"
"night:SELL_WATCH","You sold the digital watch on your way home.","Eve dönerken dijital saatini sattin."
"night:SELL_WATCH","WATCH PROFIT","SAATİN PARASİ"
"night:EASY_MODE","EASY MODE CRUTCH","KOLAY MOD DESTEĞİ"
"night:SNEAK_HOME","You have rushed home amid the panic at work to check on your family.","Aileni kontrol etmek için işten eve aceleyle döndün."
"night:SNEAK_HOME","Your information audit is scheduled for tomorrow morning.","Yarin sabah denetleneceksin."
"note:EZIC_CORMAN","ARSTOTZKA IS GREAT COUNTRY POISONED BY CORRUPT LEADERS

WAR HAS MADE GOV'T GREEDY AND PARANOID - YOU HAVE SEEN FOR YOURSELF

HELP US FREE ARSTOTZKA FROM ITS SHACKLES


* THE ORDER OF THE EZIC STAR","ARSTOTZKA ÇOK GÜZEL BİR ÜLKE AMA YOLSUZLUK YAPAN YÖNETİCİLERLE DOLU

SAVAŞ DEVLETİ PARANOYAK VE AÇGÖZLÜ YAPTI - BUNA SEN DE ŞAHİT OLDUN

ARSTOTZKANIN ZİNCİRLERİNİ KIRMAMIZA YARDIM ET


* EZİC YILDIZI TARİKATI"
"note:EZIC_HANDLER_POST0","FIRST AGENT WAS DENIED

SECOND WILL COME IN THREE DAYS

DO NOT MAKE SAME MISTAKE","İLK AJANIN GİRİŞİ REDDEDİLDİ

İKİNCİSİ ÜÇ GÜN SONRA GELECEK

AYNI HATAYI TEKRARLAMA"
"note:EZIC_HANDLER_PRE1","LARGE GIFT WAS MISTAKE

MINISTRY OF INFORMATION NOW INVESTIGATES YOUR CONNECTION TO EZIC

NEXT AGENT COMES TODAY

WILL SOLVE PROBLEM

DENY AT OWN RISK","BÜYÜK HEDİYE BİR HATAYDI

HABER ALMA BAKANLIĞI EZİC'LE OLAN İLİŞKİNİ İNCELİYOR

DİĞER AJAN YARIN GELECEK

PROBLEMİ ÇÖZECEK

İÇERİ ALMAZSAN SONUÇLARINA KATLANIRSIN"
"note:EZIC_HANDLER_POST1","BOTH AGENTS WERE DENIED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","İKİ AJAN DA İÇERİ ALINMADI

YARDIMIN OLMADAN BAŞARAMAYIZ

ARSTOTZKA KURULDUĞUNDA, TARİKATIMIZIN DESTEĞİ ÇOKTU

BU ZULÜM BİTTİĞİNDE BİZ DE GİDECEĞİZ"
"note:EZIC_HANDLER_POST1","ONLY ONE AGENT APPROVED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN ,THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","YALNIZCA BİR AJANI İÇERİ ALDIN

YARDIMIN OLMADAN BAŞARAMAYIZ

ARSTOTZKA KURULDUĞUNDA TARİKATIMIZIN DESTEĞİ ÇOKTU

BU ZULÜM BİTTİĞİNDE BİZ DE GİDECEĞİZ"
